dataset_name,client_num,n_estimators_client,num_rounds,xgb_max_depth,CNN_lr,best_res,best_res_round_num,num_iterations,method,source_file,subsample,learning_rate,colsample_bylevel,colsample_bynode,colsample_bytree,alpha,gamma,num_parallel_tree,min_child_weight,result_train,result_test,round,test_loss,test_accuracy,dtype,input,output,ulperrortol,seed, 0x0, 0xdeadbeaf
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,30.0,1.527534110530926,36.57444267515923,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,31.0,1.4991916812908876,38.54498407643312,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,32.0,1.5019620755675491,38.69426751592356,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,33.0,1.516260206319724,39.80891719745223,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,34.0,1.545366729141041,39.43073248407644,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,35.0,1.526906736337455,41.0828025477707,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,36.0,1.4906442719659987,40.8937101910828,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,37.0,1.417348074305589,43.39171974522293,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,38.0,1.4583478087832211,42.12778662420382,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,39.0,1.4247253723205275,44.02866242038217,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,40.0,1.4191510669744698,43.013535031847134,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,41.0,1.4328371263613366,44.00875796178344,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,42.0,1.3982543315097784,43.929140127388536,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,43.0,1.423313855365583,44.16799363057325,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,44.0,1.4127953963674558,45.163216560509554,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,45.0,1.4131687856783532,43.25238853503185,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,46.0,1.4124792897777192,45.909633757961785,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,47.0,1.3586350117519403,47.39251592356688,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,48.0,1.3291723507984428,48.84554140127389,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,49.0,1.3056743547415277,48.68630573248408,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,50.0,1.2475915076626334,52.8562898089172,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,51.0,1.309672890195421,49.70143312101911,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,52.0,1.295065756436366,49.25358280254777,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,53.0,1.2907564920984256,51.73168789808917,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,54.0,1.2776526641693844,51.15445859872612,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,55.0,1.2290187352781845,51.46297770700637,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,56.0,1.2637851223064835,51.33359872611465,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,57.0,1.307064347965702,50.78622611464968,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,58.0,1.2671800225403658,52.65724522292994,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,59.0,1.220798004584707,54.16998407643312,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,60.0,1.1866171356219395,55.24482484076433,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,61.0,1.2352016556794476,53.40366242038217,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,62.0,1.203970708664815,55.483678343949045,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,63.0,1.1808205645555143,55.35429936305732,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,64.0,1.1494090283752247,57.30493630573248,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,65.0,1.151600067782554,57.603503184713375,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,66.0,1.211167562159763,56.23009554140128,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,67.0,1.133381357238551,58.409633757961785,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,68.0,1.1619057298465898,58.05135350318472,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,69.0,1.2784091351897853,55.72253184713376,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,70.0,1.0778594241020785,61.52468152866242,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,71.0,1.0602612977574586,62.27109872611465,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,72.0,1.0830136879234558,61.5843949044586,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,73.0,1.0724899814387037,61.88296178343949,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,74.0,1.1194314356822117,60.619028662420384,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,75.0,1.0437630718680704,63.34593949044586,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,76.0,1.1226397813505429,60.67874203821656,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,77.0,1.1048539990832091,61.27587579617835,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,78.0,1.0811341875677656,63.3359872611465,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,79.0,1.065729108206026,63.067277070063696,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,80.0,1.0473899970388716,63.94307324840764,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,81.0,1.057944452307027,63.50517515923567,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,82.0,1.0381776857527958,64.84872611464968,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,83.0,1.0324998847238578,64.96815286624204,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,84.0,1.051732201864765,64.54020700636943,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,85.0,1.000599786354478,66.0031847133758,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,86.0,0.9968066860915747,66.13256369426752,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,87.0,0.98170910291611,67.11783439490446,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,88.0,0.9653584562289488,67.88415605095541,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,89.0,0.9999591860042256,66.43113057324841,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,90.0,0.941894019105632,67.93391719745223,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,91.0,0.972723617675198,67.82444267515923,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,92.0,0.995132986906987,67.47611464968153,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,93.0,0.9654969254117104,67.88415605095541,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,94.0,0.9135257005691528,69.45660828025478,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,95.0,0.9492163764443368,68.28224522292993,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,96.0,0.9684970971125706,68.46138535031847,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,97.0,0.9400283531018884,69.18789808917198,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,98.0,0.942237958027299,69.30732484076434,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,99.0,0.9343463778495787,69.44665605095541,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_True_seed_2_Dec3.csv,,,,,,,,,,,,100.0,0.930485542412776,69.64570063694268,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,1.0,2.3200641179540358,9.952229299363058,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,2.0,2.332613743034897,14.759156050955411,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,3.0,2.2943672480856536,17.54578025477707,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,4.0,2.2189645752026017,17.486066878980893,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,5.0,2.18245965963716,17.74482484076433,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,6.0,2.1257265555630824,18.212579617834397,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,7.0,2.09784806761772,18.312101910828027,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,8.0,2.0629749852380934,18.282245222929937,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,9.0,2.029276000466316,19.675557324840764,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,10.0,1.996370539543735,21.307722929936304,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,11.0,1.940650716708724,25.12937898089172,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,12.0,1.9198999875670024,25.81608280254777,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,13.0,1.875836424766832,27.826433121019107,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,14.0,1.86781438596689,28.005573248407643,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,15.0,1.828660272488928,28.562898089171973,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,16.0,1.8056289390393885,29.16003184713376,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,17.0,1.807242114832447,29.4187898089172,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,18.0,1.7711778059127226,30.35429936305733,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,19.0,1.7861171520439685,29.398885350318476,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,20.0,1.7486517201563356,30.13535031847134,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,21.0,1.728117706669364,31.12062101910828,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,22.0,1.7183431986790554,31.399283439490446,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,23.0,1.700866291477422,31.75756369426752,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,24.0,1.7088133210589171,31.827229299363054,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,25.0,1.6609564351428086,32.3546974522293,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,26.0,1.6626551280355757,32.076035031847134,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,27.0,1.645089166938879,32.91202229299363,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,28.0,1.6677715854280313,32.48407643312102,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,29.0,1.6330569693996648,33.26035031847134,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,30.0,1.6149157809603745,33.777866242038215,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,31.0,1.6288357418813524,34.48447452229299,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,32.0,1.6007611075783992,34.942277070063696,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,33.0,1.6150031408686547,34.76313694267516,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,34.0,1.605435286357904,35.2109872611465,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,35.0,1.5767694035912776,35.82802547770701,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,36.0,1.580061239801395,35.98726114649681,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,37.0,1.54439993800631,37.58957006369427,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,38.0,1.5474813257812694,37.55971337579618,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,39.0,1.522053401940947,38.80374203821656,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,40.0,1.5040113553879366,39.639729299363054,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,41.0,1.5458406050493765,39.45063694267516,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,42.0,1.5123681353915268,39.7093949044586,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,43.0,1.4823242820751894,41.14251592356688,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,44.0,1.4837903376597508,40.92356687898089,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,45.0,1.4541151068013185,42.5656847133758,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,46.0,1.450389881042918,42.49601910828026,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,47.0,1.4403325061129917,43.63057324840764,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,48.0,1.4413731082989152,43.50119426751592,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,49.0,1.410769252260779,44.61584394904459,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,50.0,1.3515059124132631,47.15366242038217,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,51.0,1.4238019384396303,44.55613057324841,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,52.0,1.3822369461606263,46.40724522292994,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,53.0,1.393196594183612,46.17834394904459,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,54.0,1.4052813994656703,45.59116242038217,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,55.0,1.3663913406384218,47.21337579617835,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,56.0,1.3483250665057236,48.56687898089172,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,57.0,1.3485631092338806,48.477308917197455,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,58.0,1.3185010165165945,49.78105095541401,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,59.0,1.3053698980124893,50.35828025477707,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,60.0,1.306766574549827,50.318471337579616,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,61.0,1.267537006147348,52.34872611464968,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,62.0,1.3066887369581088,50.80613057324841,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,63.0,1.264975130558014,52.11982484076433,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,64.0,1.2504711963568524,53.15485668789809,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,65.0,1.2236004733735588,54.91640127388535,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,66.0,1.2444400662069868,53.97093949044586,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,67.0,1.221459321535317,55.07563694267516,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,68.0,1.237726544498638,54.73726114649681,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,69.0,1.207326017367612,55.86186305732484,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,70.0,1.1740631518090607,57.27507961783439,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,71.0,1.186907345322287,56.92675159235669,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,72.0,1.1604488025045698,57.76273885350319,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,73.0,1.1476669311523438,58.39968152866242,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,74.0,1.1477265897070523,58.33996815286624,,,,,,,
,,,,,,,,,unknown,baselines/fednova/fednova/results/proximal_fednova_varEpoch_False_seed_5_Dec3.csv,,,,,,,,,,,,75.0,1.08883371854284,60.98726114649681,,,,,,,
